session_id,station_id,station_name,latitude,longitude,total_chargers,start_time,duration_minutes,energy_kwh,charger_type,vehicle_model,cost_inr
S000001,ST013,Tata Power EZ - Hadapsar,18.5018,73.926,4,2024-10-06 19:15:00,58,14.0,AC Level 2,Mahindra XUV400,244
S000002,ST048,MG EV Hub - Koregaon Park,18.5362,73.8938,3,2024-07-02 06:41:00,73,13.7,AC Level 2,Ather 450X,214
S000003,ST016,Tata Power EZ - Koregaon Park,18.5362,73.8938,4,2024-06-25 20:31:00,67,13.8,AC Level 2,Tata Nexon EV,209
S000004,ST048,MG EV Hub - Koregaon Park,18.5362,73.8938,3,2024-12-01 18:50:00,28,7.3,DC Fast,Ola S1 Pro,110
S000005,ST045,MG EV Hub - Baner,18.559,73.7868,4,2024-06-23 12:46:00,74,15.7,DC Fast,BYD Atto 3,270
S000006,ST040,Jio-BP EV - Baner,18.559,73.7868,5,2024-01-13 05:48:00,27,6.7,DC Fast,Tata Tigor EV,96
S000007,ST001,ChargeZone - Hinjewadi Phase 1,18.5912,73.7389,6,2024-02-28 20:41:00,64,17.3,AC Level 2,Hyundai Kona Electric,243
S000008,ST040,Jio-BP EV - Baner,18.559,73.7868,5,2024-02-01 19:05:00,38,8.1,DC Fast,Ola S1 Pro,133
S000009,ST025,Ather Grid - Kothrud,18.5074,73.8077,3,2024-04-10 04:27:00,51,12.9,AC Level 2,MG ZS EV,225
S000010,ST003,ChargeZone - Baner Road,18.559,73.7868,5,2024-08-21 08:53:00,46,9.1,DC Fast,Kia EV6,130
S000011,ST007,ChargeZone - Kharadi,18.5538,73.9394,4,2024-04-09 20:36:00,115,29.1,AC Level 2,Mahindra BE 6e,485
S000012,ST049,MG EV Hub - Kharadi,18.5538,73.9394,3,2024-12-31 16:22:00,56,14.5,DC Fast,MG ZS EV,244
S000013,ST014,Tata Power EZ - Kharadi,18.5538,73.9394,5,2024-07-03 07:55:00,68,15.0,AC Level 2,Hyundai Ioniq 5,223
S000014,ST050,MG EV Hub - Hadapsar,18.5018,73.926,3,2024-08-23 07:35:00,108,26.2,AC Level 2,Tata Nexon EV,423
S000015,ST010,ChargeZone - Pashan,18.5371,73.7977,3,2024-04-26 06:40:00,51,12.8,DC Fast,Tata Punch EV,200
S000016,ST028,Ather Grid - Pimpri,18.6279,73.8009,3,2024-11-22 22:04:00,71,14.7,DC Fast,Hyundai Ioniq 5,254
S000017,ST033,BPCL EV - Wakad,18.5985,73.7615,4,2024-08-12 12:46:00,112,23.8,AC Level 2,Tata Punch EV,360
S000018,ST045,MG EV Hub - Baner,18.559,73.7868,4,2024-09-12 16:59:00,39,9.6,DC Fast,Mahindra XUV400,169
S000019,ST008,ChargeZone - Deccan Gymkhana,18.5197,73.8419,3,2024-10-26 11:44:00,26,5.4,DC Fast,MG Comet EV,85
S000020,ST002,ChargeZone - Magarpatta City,18.5089,73.9259,6,2024-10-12 18:44:00,120,22.5,AC Level 2,Tata Tiago EV,346
